,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,elev_high,elev_low,average_speed,max_speed,start_latlng,start_latitude,start_longitude,distance_km,day_of_week,month_of_year,year,elapsed_time_hr,moving_time_hr
48,10440929573,Afternoon Alpine Ski,2023-12-26 14:11:10,AlpineSki,25351.6,0 days 00:00:00.000007143,0 days 00:00:00.000007919,1998.0,1882.8,1019.1,3.549,12.562,"[45.88684047572315, 6.754922037944198]",45.88684047572315,6.754922037944198,25.351599999999998,Tuesday,12,2023,2.1997222222222223e-09,1.9841666666666665e-09
49,10440928650,Afternoon Nordic Ski,2023-12-23 14:53:28,NordicSki,2116.6,0 days 00:00:00.000000934,0 days 00:00:00.000000934,12.0,1062.4,1047.8,2.266,4.545,"[45.93214835040271, 6.884626541286707]",45.93214835040271,6.884626541286707,2.1166,Saturday,12,2023,2.5944444444444444e-10,2.5944444444444444e-10
50,10404395123,Afternoon Nordic Ski,2023-12-19 13:16:54,NordicSki,5348.7,0 days 00:00:00.000001791,0 days 00:00:00.000001882,53.0,1103.2,1046.4,2.986,5.935,"[45.93228271231055, 6.884566275402904]",45.93228271231055,6.884566275402904,5.3487,Tuesday,12,2023,5.227777777777778e-10,4.975e-10
51,10395357401,Afternoon Walk,2023-12-17 15:28:18,Hike,2378.7,0 days 00:00:00.000002265,0 days 00:00:00.000002265,15.0,1082.6,1056.0,1.05,1.547,"[45.93344737775624, 6.888268142938614]",45.93344737775624,6.888268142938614,2.3787,Sunday,12,2023,6.291666666666667e-10,6.291666666666667e-10
52,10389083649,Afternoon Nordic Ski,2023-12-16 14:11:54,NordicSki,6324.4,0 days 00:00:00.000002001,0 days 00:00:00.000002158,39.0,1060.0,1043.8,3.161,5.472,"[45.9322423953563, 6.884555798023939]",45.9322423953563,6.884555798023939,6.3244,Saturday,12,2023,5.994444444444444e-10,5.558333333333333e-10
53,10382769517,Morning Nordic Ski,2023-12-15 08:57:44,NordicSki,6277.0,0 days 00:00:00.000002048,0 days 00:00:00.000002127,39.0,1062.4,1046.6,3.065,5.458,"[45.93224884942174, 6.884569795802236]",45.93224884942174,6.884569795802236,6.277,Friday,12,2023,5.908333333333333e-10,5.688888888888889e-10
54,10377820817,Morning Nordic Ski,2023-12-14 09:05:57,NordicSki,4203.3,0 days 00:00:00.000001477,0 days 00:00:00.000001493,24.0,1064.0,1049.2,2.846,5.486,"[45.93215815722942, 6.884639700874686]",45.93215815722942,6.884639700874686,4.2033000000000005,Thursday,12,2023,4.147222222222222e-10,4.1027777777777777e-10
55,10358740590,Afternoon Alpine Ski,2023-12-10 12:21:33,AlpineSki,14613.5,0 days 00:00:00.000004550,0 days 00:00:00.000006421,1489.7,2392.4,1744.5,3.212,12.588,"[45.96059292554855, 6.886993423104286]",45.96059292554855,6.886993423104286,14.6135,Sunday,12,2023,1.7836111111111112e-09,1.263888888888889e-09
56,10358373754,Lunch Alpine Ski,2023-12-10 12:18:05,AlpineSki,7596.1,0 days 00:00:00.000001665,0 days 00:00:00.000006441,0.0,2403.0,1630.8,4.562,12.602,"[45.96095183864236, 6.886864090338349]",45.96095183864236,6.886864090338349,7.596100000000001,Sunday,12,2023,1.7891666666666666e-09,4.625e-10
57,10353047726,Afternoon Nordic Ski,2023-12-09 13:45:06,NordicSki,6384.6,0 days 00:00:00.000002898,0 days 00:00:00.000003486,63.8,1106.8,1047.1,2.203,6.838,"[45.93462252058089, 6.889840420335531]",45.93462252058089,6.889840420335531,6.384600000000001,Saturday,12,2023,9.683333333333334e-10,8.05e-10
